term,justice,justiceName,code,post_mn,post_sd,post_med,post_025,post_975
1950,88,Clark,CLK,1.09,0.272,1.081,0.583,1.654
1951,88,Clark,CLK,1.18,0.248,1.174,0.71,1.692
1952,88,Clark,CLK,1.122,0.223,1.116,0.706,1.574
1953,88,Clark,CLK,0.593,0.208,0.587,0.198,1.015
1954,88,Clark,CLK,0.168,0.203,0.169,-0.223,0.579
1955,88,Clark,CLK,0.074,0.19,0.071,-0.292,0.458
1956,88,Clark,CLK,0.26,0.172,0.26,-0.076,0.602
1957,88,Clark,CLK,0.61,0.169,0.607,0.284,0.952
1958,88,Clark,CLK,0.544,0.18,0.543,0.2,0.904
1959,88,Clark,CLK,0.434,0.164,0.43,0.122,0.759
1960,88,Clark,CLK,0.784,0.18,0.782,0.434,1.145
1961,88,Clark,CLK,0.407,0.188,0.406,0.044,0.785
1962,88,Clark,CLK,0.203,0.172,0.201,-0.131,0.541
1963,88,Clark,CLK,0.176,0.169,0.171,-0.155,0.513
1964,88,Clark,CLK,0.007,0.201,0.007,-0.384,0.401
1965,88,Clark,CLK,-0.067,0.188,-0.066,-0.434,0.303
1966,88,Clark,CLK,0.065,0.188,0.066,-0.303,0.425
1938,81,Douglas,DOUG,-2.685,0.491,-2.681,-3.653,-1.736
1939,81,Douglas,DOUG,-2.908,0.438,-2.901,-3.786,-2.084
1940,81,Douglas,DOUG,-3.033,0.392,-3.02,-3.827,-2.294
1941,81,Douglas,DOUG,-2.978,0.358,-2.972,-3.714,-2.3
1942,81,Douglas,DOUG,-2.671,0.334,-2.666,-3.343,-2.042
1943,81,Douglas,DOUG,-2.294,0.318,-2.288,-2.94,-1.684
1944,81,Douglas,DOUG,-1.892,0.295,-1.877,-2.508,-1.348
1945,81,Douglas,DOUG,-1.713,0.292,-1.705,-2.304,-1.153
1946,81,Douglas,DOUG,-1.422,0.269,-1.41,-1.978,-0.93
1947,81,Douglas,DOUG,-1.532,0.271,-1.522,-2.104,-1.03
